"","X","ord_in_thread","author","published","crawled","site_url","country","domain_rank","spam_score","replies_count","participants_count","likes","comments","shares","type"
"1",1,0,"Barracuda Brigade","10/26/2016 18:41","10/26/2016 22:49","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"2",2,0,"reasoning with facts","10/29/2016 5:47","10/29/2016 5:47","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"3",3,0,"Barracuda Brigade","10/30/2016 23:41","10/30/2016 23:41","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"4",4,0,"Fed Up","11/1/2016 3:22","11/1/2016 13:46","100percentfedup.com","US",25689,0.068,0,0,0,0,0,"bias"
"5",5,0,"Fed Up","11/1/2016 19:56","11/1/2016 21:59","100percentfedup.com","US",25689,0.865,0,0,0,0,0,"bias"
"6",6,0,"Barracuda Brigade","11/2/2016 14:31","11/2/2016 14:31","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"7",7,0,"Fed Up","11/4/2016 17:40","11/5/2016 0:13","100percentfedup.com","US",25689,0.701,0,0,0,0,0,"bias"
"8",8,0,"Fed Up","11/4/2016 23:19","11/5/2016 3:59","100percentfedup.com","US",25689,0.188,0,0,0,0,0,"bias"
"9",9,0,"Fed Up","11/6/2016 21:54","11/7/2016 8:20","100percentfedup.com","US",25689,0.144,0,0,0,0,0,"bias"
"10",10,0,"Fed Up","11/7/2016 0:43","11/7/2016 8:20","100percentfedup.com","US",25689,0.995,0,0,0,0,0,"bias"
"11",11,0,"EdJenner","11/7/2016 20:34","11/7/2016 20:34","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"12",12,0,"Fed Up","11/9/2016 15:28","11/9/2016 15:37","100percentfedup.com","US",25689,0.998,0,0,0,0,0,"bias"
"13",13,0,"EdJenner","11/10/2016 0:37","11/10/2016 0:37","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"14",14,0,"Fed Up","11/10/2016 13:38","11/10/2016 14:25","100percentfedup.com","US",25689,0.001,0,0,0,0,0,"bias"
"15",15,0,"Fed Up","11/11/2016 13:13","11/11/2016 14:41","100percentfedup.com","US",25689,0,0,0,0,0,0,"bias"
"16",16,0,"EdJenner","11/12/2016 4:16","11/12/2016 4:16","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"17",17,0,"Fed Up","11/10/2016 6:41","11/12/2016 13:52","100percentfedup.com","US",25689,0.268,0,0,0,0,0,"bias"
"18",18,0,"EdJenner","11/12/2016 17:55","11/12/2016 17:55","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"19",19,0,"EdJenner","11/13/2016 4:02","11/13/2016 4:02","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"20",20,0,"EdJenner","11/13/2016 4:02","11/13/2016 4:02","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"21",21,0,"Fed Up","11/10/2016 7:10","11/13/2016 15:06","100percentfedup.com","US",25689,0.19,0,0,0,0,0,"bias"
"22",22,0,"EdJenner","11/14/2016 6:35","11/14/2016 6:35","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"23",23,0,"EdJenner","11/15/2016 7:43","11/15/2016 7:43","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"24",24,0,"EdJenner","11/20/2016 1:53","11/20/2016 1:53","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"25",25,0,"EdJenner","11/20/2016 4:44","11/20/2016 4:44","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"26",26,0,"EdJenner","11/21/2016 1:35","11/21/2016 1:35","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"27",27,0,"EdJenner","11/22/2016 6:17","11/22/2016 6:17","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"28",28,0,"Fed Up","11/22/2016 19:26","11/22/2016 19:34","100percentfedup.com","US",25689,0.256,0,0,0,0,0,"bias"
"29",29,0,"EdJenner","11/22/2016 23:48","11/22/2016 23:48","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
"30",30,0,"Barracuda Brigade","11/23/2016 19:54","11/23/2016 23:18","100percentfedup.com","US",25689,0,0,1,0,0,0,"bias"
